participant_id,age_group,gender,education,occupation,country_of_residence,nationality,race,native_tongue,languages_spoken,english_fluency,political_party,political_inclination,listening_habits,tech_savy,ai_experience,media_consumption,participant_date_of_entry,rating_id,audio_clip_id,speech_clarity,speech_persuasiveness,speech_pace_engagement,speaker_trustworthiness,speech_trustworthiness,speaker_competence,speech_speed_influence,pitch_sincerity_effect,loudness_attention_influence,realness_scale,realness_perception,influenced_by_tone,influenced_by_quality,influenced_by_content,confidence_level,policy_agreement,likelihood_to_vote,open_ended_response,group_no,share_likely_private,share_likely_public,report_misleading,downrank_agree,watermark_action,candidate_position_after,agreement_candidate_position,candidate_consistency,candidate_alignment,confidence_candidate_position,em_anger,em_fear,em_enthusiasm,em_pride,mip_topics,mip_topics_before,perceived_threat,identity_threat,salience_before,stance_before,salience_after,stance_after,rating_created_at,topic,speaker,group
66,41-50,he/him/his,High school or equivalent,Unemployed,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,3,"[""Podcasts"", ""Music""]",Very comfortable,Intermediate,Podcast listener,2025-10-31 11:54:36,923,447,10,10,10,10,10,10,10,10,10,9,1,1,0,1,8,1,10,Nothing stood out at all to me. Everything seemed normal.,1,9,3,0,1,1,1,10,10,10,10,7,2,2,1,"Immigration, Economy, Racism, Climate, Government / Poor leadership, Healthcare, Unifying the country","Immigration, Economy, Racism, Climate, Government / Poor leadership, Healthcare, Unifying the country",10,6,8,5,8,5,2025-10-31 12:00:33,NationalSecurity,Harris,1
67,51-60,he/him/his,Bachelor's degree,Sales & Marketing,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,2,"[""Music"", ""Podcasts""]",Comfortable,Intermediate,Podcast listener,2025-10-31 11:54:49,922,530,10,3,7,1,1,8,3,4,7,10,1,1,1,1,8,1,1,,1,2,1,0,1,5,10,2,10,1,10,9,6,1,1,"Economy, Healthcare, Government / Poor leadership","Economy, Government / Poor leadership, Healthcare",7,9,3,7,3,7,2025-10-31 11:58:19,Gender,Trump,1
69,51-60,she/her/hers,Master's degree,Education & Training,US,"[""United States of America""]","[""White""]","[""English""]",2,Proficient (C2),Democrats,10,"[""Podcasts"", ""Audiobooks"", ""Music""]",Very comfortable,Advanced,Podcast listener,2025-10-31 14:55:42,938,549,10,9,8,10,8,10,8,10,8,8,1,1,1,0,10,9,8,"This survey structure aims to capture nuanced public reactions to political media, trust and authenticity perceptions, and social media sharing behavior. If you need help analyzing, summarizing, or designing responses for any specific part, please let me know.",1,8,10,0,2,8,9,8,10,8,9,2,1,8,10,"Immigration, Racism, Climate, Education, Healthcare","Racism, Economy, National Security, Healthcare, Crime & Public safety, Immigration",5,8,8,9,9,8,2025-10-31 15:01:03,Education,Trump,1
70,51-60,she/her/hers,Master's degree,Business & Management,US,"[""Poland""]","[""White""]","[""Polish""]",3,Proficient (C2),Republicans,8,"[""Podcasts"", ""Symphonies"", ""Music""]",Comfortable,Intermediate,News junkie,2025-10-31 15:17:08,940,437,10,1,1,1,1,1,1,1,1,10,1,1,0,0,10,1,1,nothing,1,1,1,0,5,1,5,1,1,1,6,5,1,1,1,"Immigration, National Security, Economy, Education, Elections / Democracy, Crime & Public safety, Healthcare, Poverty / Homelessness, Unifying the country, Other","Economy, National Security, Education, Elections / Democracy, Crime & Public safety, Healthcare, Poverty / Homelessness, Unifying the country, Immigration, Other",1,10,10,5,1,5,2025-10-31 15:22:58,Gender,Harris,1
71,31-40,he/him/his,Bachelor's degree,Finance & Accounting,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,4,"[""Nature Sounds"", ""Music"", ""Podcasts""]",Comfortable,Intermediate,Casual viewer,2025-10-31 15:19:52,941,434,4,6,6,6,6,8,10,6,6,8,1,1,0,1,6,3,6,"It was hard to know what ""open policies"" vs ""strict policies"" would refer to. It depends on the policy.",1,1,1,0,10,1,6,6,7,3,5,5,1,2,2,Government / Poor leadership,Government / Poor leadership,6,6,3,5,3,3,2025-10-31 15:23:50,Gender,Harris,1
73,41-50,she/her/hers,High school or equivalent,Manufacturing & Production,US,"[""Ireland""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,6,"[""Audiobooks"", ""Music"", ""Podcasts""]",Comfortable,Intermediate,Casual viewer,2025-10-31 15:25:17,943,522,10,2,3,1,1,1,9,1,4,8,1,0,0,1,10,1,1,,1,1,1,0,2,3,10,1,1,1,10,10,10,1,1,"Economy, Immigration, Government / Poor leadership","Economy, Immigration, Government / Poor leadership",10,6,10,6,10,1,2025-10-31 15:30:25,Economy,Trump,1
74,31-40,they/them/theirs,Bachelor's degree,Healthcare & Medical,US,"[""Albania""]","[""Black or African American""]","[""Chinese (Mandarin)""]",3,Elementary (A2),Independent,1,"[""Symphonies""]",Comfortable,No Experience,Podcast listener,2025-11-03 10:18:06,944,415,10,10,10,10,10,10,10,10,10,4,0,0,0,0,5,5,5,,1,5,5,0,3,3,10,10,5,5,5,1,1,1,1,Racism,National Security,10,10,1,1,2,2,2025-11-03 10:19:12,NationalSecurity,Harris,1
75,18-30,she/her/hers,Bachelor's degree,Information Technology (IT) & Software,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,2,"[""Music"", ""Podcasts""]",Very comfortable,Advanced,Podcast listener,2025-11-03 10:49:23,947,529,10,2,7,1,1,2,1,9,10,3,0,1,1,0,9,1,1,The topic of Gender is sensitive to me. It is the basis of women's survival. ,1,5,3,1,10,9,1,1,10,1,10,9,10,1,1,"Racism, Economy, Healthcare, National Security, Gender","Gender, National Security, Racism, Economy, Healthcare",10,9,9,10,10,10,2025-11-03 11:05:47,Gender,Trump,1
76,41-50,she/her/hers,High school or equivalent,Business & Management,US,"[""United States of America""]","[""Black or African American""]","[""English""]",1,Proficient (C2),Democrats,2,"[""Music""]",Comfortable,Beginner,Social media scroller,2025-11-03 10:52:06,945,446,10,10,10,10,10,10,9,9,10,9,1,1,0,1,9,10,10,,1,10,10,0,5,1,4,10,10,10,10,1,1,9,10,"Economy, Healthcare, Poverty / Homelessness, Racism","Economy, Government / Poor leadership, Healthcare, Poverty / Homelessness",1,1,10,8,10,10,2025-11-03 10:58:07,NationalSecurity,Harris,1
78,60<,she/her/hers,Bachelor's degree,Other,US,"[""United States of America""]","[""Black or African American""]","[""English""]",1,Proficient (C2),Independent,5,"[""Music""]",Very comfortable,Intermediate,News junkie,2025-11-03 11:00:35,955,419,10,2,2,2,2,2,2,2,3,2,0,1,0,0,8,7,1,This study was incredibly hard on the eye's. An the looping is not PLEASANT!,1,1,1,0,10,9,8,3,5,8,9,2,1,2,2,Economy,Economy,5,1,8,8,10,8,2025-11-03 11:26:03,Climate,Harris,1
83,41-50,she/her/hers,High school or equivalent,Sales & Marketing,US,"[""United States of America"", ""Nigeria""]","[""Black or African American""]","[""English""]",1,Proficient (C2),Democrats,1,"[""Nature Sounds""]",Comfortable,Intermediate,Social media scroller,2025-11-03 11:08:55,952,429,10,10,9,9,9,10,9,1,9,9,1,1,1,1,8,10,9,,1,7,6,0,1,4,10,9,10,10,9,2,1,7,8,"Economy, Climate, Poverty / Homelessness, Government / Poor leadership, Gender","Government / Poor leadership, Economy, Climate, Poverty / Homelessness",9,7,10,3,10,10,2025-11-03 11:15:25,Gender,Harris,1
85,18-30,she/her/hers,Bachelor's degree,Business & Management,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,10,"[""Music"", ""Podcasts""]",Very comfortable,Advanced,Social media scroller,2025-11-03 11:27:39,957,525,10,10,10,9,9,10,1,1,7,10,1,1,0,1,8,9,10,No,1,7,10,0,3,1,10,9,10,10,10,1,1,9,9,"Economy, Immigration","Economy, Immigration",1,1,10,10,10,10,2025-11-03 11:36:17,Economy,Trump,1
86,41-50,she/her/hers,Bachelor's degree,Information Technology (IT) & Software,US,"[""Germany"", ""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,4,"[""Music""]",Comfortable,Intermediate,Casual viewer,2025-11-03 11:30:13,958,544,7,2,4,5,5,5,2,2,1,7,1,1,1,1,2,5,5,"The clip did not give me any idea of what he was really talking about.  Your questions are asking if I agree with his point, but I do not know what his point was.",1,1,1,0,6,2,5,5,5,5,1,1,1,1,1,Economy,Economy,7,2,5,5,5,5,2025-11-03 11:37:39,Racism,Trump,1
87,51-60,he/him/his,Doctorate,Government & Public Sector,US,"[""Germany""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,4,"[""Music""]",Comfortable,Intermediate,News junkie,2025-11-03 11:34:47,960,544,2,3,7,4,3,3,8,7,4,7,1,0,0,1,6,3,2,The speech sounded familiar but guessing it was fake,1,2,2,0,3,4,2,4,3,2,8,4,1,2,2,Government / Poor leadership,"Climate, Economy",4,2,7,7,6,4,2025-11-03 11:41:16,Racism,Trump,1
88,41-50,he/him/his,Professional degree,Healthcare & Medical,US,"[""United States of America""]","[""American Indian or Alaska Native""]","[""English""]",1,Proficient (C2),Republicans,7,"[""Podcasts""]",Somewhat comfortable,Expert,Podcast listener,2025-11-03 11:36:09,959,545,7,3,5,3,3,5,7,5,6,7,1,0,1,1,6,3,3,,1,2,2,0,6,6,2,2,3,3,4,3,5,3,3,"Economy, Climate","Economy, Climate",7,3,8,8,8,8,2025-11-03 11:40:28,Climate,Trump,1
89,60<,she/her/hers,Master's degree,Other,US,"[""Poland""]","[""White""]","[""English""]",1,Proficient (C2),Independent,2,"[""Other""]",Very comfortable,Intermediate,News junkie,2025-11-03 11:46:54,961,535,8,1,5,1,1,1,10,5,1,9,1,0,0,1,5,1,1,,1,1,1,0,10,5,10,1,8,1,10,10,10,1,1,Government / Poor leadership,"Government / Poor leadership, Healthcare",1,10,1,1,1,1,2025-11-03 11:51:09,Immigration,Trump,1
91,31-40,he/him/his,Bachelor's degree,Student,US,"[""Spain""]","[""White"", ""Hispanic or Latino""]","[""English""]",2,Proficient (C2),Democrats,1,"[""Music"", ""Podcasts""]",Somewhat comfortable,Intermediate,Podcast listener,2025-11-03 11:56:26,962,537,6,1,1,1,1,1,3,10,3,8,1,0,0,1,6,1,1,Yes. That the voice was slightly off meant it could have been AI-generated.,1,1,3,1,6,6,10,1,1,1,10,1,1,1,1,"Unifying the country, Healthcare, Elections / Democracy, Government / Poor leadership, Climate, Racism","Unifying the country, Healthcare, Elections / Democracy, Government / Poor leadership, Climate",1,1,7,1,6,1,2025-11-03 12:01:41,Immigration,Trump,1
94,31-40,he/him/his,High school or equivalent,Transportation & Logistics,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Independent,1,"[""Podcasts"", ""Music""]",Very comfortable,Intermediate,Podcast listener,2025-11-03 12:08:02,963,411,10,9,7,9,8,10,1,1,8,3,0,1,0,0,5,8,10,The way Kamala Harris was speaking in that clip kind of stood out. It didn’t seem quite like how she typically speaks. ,1,4,6,0,3,2,7,8,10,7,8,1,1,10,10,"Immigration, Economy, Racism, Climate, Government / Poor leadership, Elections / Democracy, Healthcare, Poverty / Homelessness, Unifying the country","Immigration, Economy, Racism, Government / Poor leadership, Elections / Democracy, Poverty / Homelessness, Healthcare, Climate, Unifying the country",3,1,3,4,3,4,2025-11-03 12:08:03,NationalSecurity,Harris,1
95,51-60,she/her/hers,Associate degree,Other,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,6,"[""Music""]",Very comfortable,Beginner,Casual viewer,2025-11-03 12:08:27,964,437,8,4,6,8,8,8,6,7,4,10,1,1,0,0,6,4,3,"No, it just seemed like a normal statement.",1,1,1,0,1,1,10,6,3,4,8,1,1,1,1,"Economy, National Security, Healthcare, Poverty / Homelessness","Economy, National Security, Healthcare, Poverty / Homelessness",4,1,5,6,5,6,2025-11-03 12:13:52,Gender,Harris,1
96,41-50,he/him/his,Bachelor's degree,Other,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Independent,5,"[""Music"", ""Audiobooks""]",Comfortable,Beginner,Casual viewer,2025-11-03 12:13:08,965,424,10,6,7,7,9,7,6,6,4,8,1,1,0,1,8,10,6,,1,1,1,0,8,10,4,10,6,7,6,3,1,5,3,Poverty / Homelessness,"Poverty / Homelessness, Economy, Government / Poor leadership",9,1,10,3,10,4,2025-11-03 12:16:59,Economy,Harris,1
98,51-60,he/him/his,High school or equivalent,Unemployed,US,"[""Germany""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,1,"[""Music""]",Somewhat comfortable,No Experience,Social media scroller,2025-11-03 12:32:59,969,436,9,8,7,8,8,9,7,8,8,7,1,0,0,1,6,10,9,I am curious about the authenticity of the audio clip.,1,3,4,0,4,1,4,9,7,8,6,1,1,4,3,"Government / Poor leadership, Healthcare, Elections / Democracy","Healthcare, Elections / Democracy, Government / Poor leadership",4,1,6,6,6,6,2025-11-03 12:43:42,Immigration,Harris,1
99,31-40,he/him/his,Bachelor's degree,Business & Management,US,"[""American Samoa""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,1,"[""Podcasts""]",Not very comfortable,Intermediate,Social media scroller,2025-11-03 12:33:45,966,423,2,2,7,3,6,2,6,2,6,10,0,0,1,0,2,6,2,,1,6,3,0,3,7,6,7,2,6,6,7,6,6,6,Climate,Climate,6,6,10,10,7,10,2025-11-03 12:35:28,Climate,Harris,1
100,31-40,he/him/his,Bachelor's degree,Information Technology (IT) & Software,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,1,"[""Music""]",Very comfortable,Expert,Social media scroller,2025-11-03 12:34:02,967,416,5,6,7,6,6,5,5,5,5,10,1,1,1,1,10,10,10,No,1,10,10,0,10,5,5,5,10,10,10,5,5,5,5,"Economy, Racism","Economy, Racism",5,5,10,10,10,10,2025-11-03 12:37:29,Racism,Harris,1
102,60<,she/her/hers,Master's degree,Finance & Accounting,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,10,"[""Music""]",Very comfortable,Expert,Social media scroller,2025-11-03 12:40:30,970,527,10,9,10,9,9,9,10,10,7,1,0,1,1,0,10,10,10,not at all.,1,7,7,0,5,5,8,8,10,10,10,1,1,7,4,"Racism, Education","Racism, Education",1,1,8,8,8,8,2025-11-03 12:46:02,Education,Trump,1
103,31-40,he/him/his,Master's degree,Information Technology (IT) & Software,US,"[""United States of America""]","[""Black or African American""]","[""English""]",1,Proficient (C2),Independent,5,"[""Music""]",Very comfortable,Intermediate,Casual viewer,2025-11-03 12:42:40,973,425,10,5,5,4,3,5,10,1,1,5,1,0,1,0,3,5,4,None.,1,1,1,0,9,10,6,5,5,5,8,1,1,1,1,"Immigration, Economy","Immigration, Economy",6,6,9,6,9,6,2025-11-03 12:52:55,Economy,Harris,1
104,41-50,he/him/his,Bachelor's degree,Information Technology (IT) & Software,US,"[""Russian Federation"", ""Denmark"", ""Israel""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,4,"[""Music""]",Comfortable,Intermediate,Casual viewer,2025-11-03 12:44:08,974,540,9,3,7,5,5,4,6,3,4,5,0,1,0,0,3,3,1,It seems like this survey keeps repeating,1,1,1,0,8,3,9,5,9,2,9,5,7,3,3,"Economy, Climate, Education, Government / Poor leadership, Healthcare, Unifying the country","Economy, Climate, Education, Government / Poor leadership, Elections / Democracy, Healthcare, Unifying the country",6,3,7,5,7,5,2025-11-03 12:57:12,NationalSecurity,Trump,1
107,31-40,he/him/his,Master's degree,Sales & Marketing,US,"[""Mexico""]","[""Hispanic or Latino""]","[""English""]",1,Proficient (C2),Democrats,2,"[""Music""]",Comfortable,Advanced,Social media scroller,2025-11-03 13:07:39,977,553,10,1,7,1,1,1,9,1,1,8,1,0,0,1,10,1,1,No.,1,1,1,0,10,1,1,1,7,10,10,10,6,1,1,"Immigration, Government / Poor leadership, Healthcare, Poverty / Homelessness, Racism, Economy","Immigration, Healthcare, Crime & Public safety, Government / Poor leadership, Poverty / Homelessness, Economy, Racism",10,10,10,10,10,10,2025-11-03 13:17:03,Racism,Trump,1
109,41-50,he/him/his,Associate degree,Trades & Construction,US,"[""Ireland""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,6,"[""Music""]",Very comfortable,Beginner,Other,2025-11-03 13:17:51,979,527,9,6,7,4,5,5,8,4,4,5,1,0,0,0,5,2,3,,1,1,1,0,1,5,4,1,5,3,5,1,1,1,1,"Immigration, Economy, National Security","Immigration, National Security, Economy",6,1,6,5,6,5,2025-11-03 13:20:59,Education,Trump,1
114,41-50,he/him/his,Bachelor's degree,Business & Management,US,"[""United States of America""]","[""Black or African American""]","[""English""]",1,Proficient (C2),Republicans,8,"[""Podcasts""]",Very comfortable,Intermediate,Podcast listener,2025-11-03 13:50:11,982,445,9,2,1,1,1,1,9,1,1,8,1,1,0,0,10,1,1,no,1,2,1,0,3,1,1,1,1,1,10,8,1,1,1,"Immigration, Economy, National Security","Immigration, National Security",10,10,10,10,10,10,2025-11-03 13:54:37,NationalSecurity,Harris,1
115,31-40,she/her/hers,Bachelor's degree,Sales & Marketing,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,2,"[""Audiobooks"", ""Podcasts""]",Comfortable,Intermediate,Series binge-watcher,2025-11-03 13:51:43,983,546,7,7,8,4,8,6,9,7,8,9,1,1,0,1,9,7,4,,1,2,2,0,8,8,9,7,8,7,8,2,2,7,7,"Economy, Education, Immigration, Healthcare","Economy, Education, Healthcare, Immigration",8,2,9,7,9,7,2025-11-03 13:56:38,Education,Trump,1
116,60<,she/her/hers,High school or equivalent,Transportation & Logistics,US,"[""Italy""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,5,"[""Audiobooks""]",Very comfortable,Intermediate,News junkie,2025-11-03 13:52:35,988,545,10,10,10,10,10,10,10,10,10,10,1,0,0,1,10,1,1,yes the recodring,1,1,1,0,5,5,5,6,1,1,1,10,10,1,1,"Climate, Poverty / Homelessness, Economy","Economy, Poverty / Homelessness, Elections / Democracy",10,10,10,10,10,10,2025-11-03 14:05:38,Climate,Trump,1
118,41-50,he/him/his,Bachelor's degree,Hospitality & Food Services,US,"[""Italy""]","[""White""]","[""English""]",1,Proficient (C2),Independent,7,"[""Podcasts""]",Very comfortable,Intermediate,News junkie,2025-11-03 13:59:21,987,418,10,5,6,5,3,5,10,1,5,7,1,0,0,1,7,5,2,,1,1,1,0,5,5,10,2,6,3,7,7,5,2,1,Economy,Economy,7,6,7,7,7,6,2025-11-03 14:03:06,Climate,Harris,1
120,60<,she/her/hers,Bachelor's degree,Sales & Marketing,US,"[""Greece""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,9,"[""Podcasts"", ""Nature Sounds"", ""Other""]",Very comfortable,Intermediate,Series binge-watcher,2025-11-03 20:41:03,1011,530,8,9,7,8,9,9,7,7,8,7,0,1,1,0,7,9,9,,1,2,2,0,5,3,9,10,9,10,10,8,8,7,7,"Immigration, National Security, Economy, Crime & Public safety, Healthcare, Poverty / Homelessness, Unifying the country","Immigration, National Security, Economy, Crime & Public safety, Healthcare, Unifying the country, Poverty / Homelessness",6,6,3,3,3,3,2025-11-03 21:40:58,Gender,Trump,1
122,51-60,she/her/hers,High school or equivalent,Unemployed,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,2,"[""Music""]",Comfortable,Beginner,Series binge-watcher,2025-11-03 20:49:49,994,431,10,7,6,9,9,9,5,2,2,4,0,1,0,0,1,9,10,Nothing.  Thank you,1,2,2,0,10,5,10,9,10,10,10,5,5,1,1,"Economy, Government / Poor leadership, Elections / Democracy, Unifying the country, Poverty / Homelessness, Education, National Security, Immigration, Climate, Racism, Crime & Public safety, Gender, Healthcare","Economy, Government / Poor leadership, Crime & Public safety, Unifying the country, Poverty / Homelessness, Healthcare, Elections / Democracy, Education, Climate, Immigration, National Security, Racism, Gender",7,1,10,4,10,10,2025-11-03 20:59:04,Education,Harris,1
124,18-30,she/her/hers,Bachelor's degree,Business & Management,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,6,"[""Music""]",Comfortable,Intermediate,Social media scroller,2025-11-03 21:10:53,999,410,7,6,8,6,6,7,8,3,8,9,1,1,0,0,7,4,4,no,1,2,1,0,9,4,10,4,6,4,7,3,3,3,3,"Economy, Crime & Public safety, Climate","Economy, Climate, Crime & Public safety",6,3,4,8,4,7,2025-11-03 21:13:38,Immigration,Harris,1
125,18-30,she/her/hers,High school or equivalent,Freelance & Self-employed,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,2,"[""Music""]",Comfortable,Intermediate,Series binge-watcher,2025-11-03 21:13:50,1000,413,8,7,5,8,8,8,10,1,1,10,1,1,0,1,9,8,8,,1,1,1,0,7,5,1,8,8,8,8,1,1,5,5,"Economy, Racism, Government / Poor leadership, Healthcare, Poverty / Homelessness","Economy, Racism, Government / Poor leadership, Healthcare, Poverty / Homelessness",2,1,7,2,5,2,2025-11-03 21:16:43,Immigration,Harris,1
